Date : 2024-10-16 09:04:09
Directory : e:\ECIC6\frontend\emss-ui-admin-vue3\src
Total : 1536 files,  281763 codes, 8803 comments, 12883 blanks, all 303449 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\MDT\bizMDT.data.ts                                                   | TypeScript     |          0 |          0 |          1 |          1 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\MDT\index.vue                                                        | vue            |      1,358 |         15 |         85 |      1,458 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\agree\bizPatientAgreement.data.ts                                    | TypeScript     |         96 |          3 |          3 |        102 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\agree\index.vue                                                      | vue            |        360 |          3 |         23 |        386 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\connect\bizPatientHandover.data.ts                                   | TypeScript     |         93 |          2 |          5 |        100 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\connect\index.vue                                                    | vue            |        376 |          8 |         26 |        410 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\estimate\index.vue                                                   | vue            |        124 |          0 |          9 |        133 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\grade\index.less                                                     | Less           |         83 |         16 |         18 |        117 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\grade\index.vue                                                      | vue            |        279 |          3 |         22 |        304 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\grade\patientScore.data.ts                                           | TypeScript     |        126 |          2 |          4 |        132 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\index.vue                                                            | vue            |        531 |          9 |         28 |        568 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\informationAcquisition\index.vue                                     | vue            |         20 |          0 |          5 |         25 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\informationCollection\index.vue                                      | vue            |         68 |          1 |          8 |         77 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\medicalCase\index.vue                                                | vue            |        912 |          6 |         21 |        939 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\medicalRecord\components\outer.vue                                   | vue            |        869 |          1 |         44 |        914 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\medicalRecord\components\utils.ts                                    | TypeScript     |         84 |          8 |          9 |        101 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\medicalRecord\index.vue                                              | vue            |        910 |          1 |         38 |        949 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\modifyRecord\index.vue                                               | vue            |         69 |          0 |          2 |         71 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\nursingRecords\bizPatientCare.data.ts                                | TypeScript     |        306 |          3 |          4 |        313 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\nursingRecords\index.vue                                             | vue            |        418 |         18 |         32 |        468 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\order\components\billList.vue                                        | vue            |        102 |          1 |         10 |        113 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\order\components\orderContent.vue                                    | vue            |        141 |          0 |          8 |        149 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\order\components\savePackage copy.vue                                | vue            |        129 |          1 |         10 |        140 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\order\components\savePackage.vue                                     | vue            |        123 |          0 |         10 |        133 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\order\components\selectPackage.vue                                   | vue            |        268 |          1 |         16 |        285 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\order\index.vue                                                      | vue            |        760 |          1 |         31 |        792 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\order\utils.ts                                                       | TypeScript     |         45 |          2 |          7 |         54 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\overview\index.less                                                  | Less           |         95 |          0 |         14 |        109 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\overview\index.vue                                                   | vue            |        524 |         24 |         28 |        576 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\preview\bizPatientHandover.data.ts                                   | TypeScript     |        113 |          8 |          3 |        124 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\preview\index.vue                                                    | vue            |        312 |          0 |         13 |        325 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\rescue\const.ts                                                      | TypeScript     |        143 |          6 |         10 |        159 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\rescue\index.vue                                                     | vue            |        488 |          1 |         21 |        510 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\signPlayback\index.vue                                               | vue            |         71 |          0 |          3 |         74 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\sign\index.vue                                                       | vue            |         54 |          0 |          3 |         57 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\triage\bizPatientTriage.data.ts                                      | TypeScript     |        289 |          2 |          2 |        293 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\triage\index.vue                                                     | vue            |         51 |          0 |          2 |         53 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\videoMonitor\index.vue                                               | vue            |        107 |          0 |          8 |        115 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\videoPlayback\index.vue                                              | vue            |        188 |          0 |         12 |        200 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Base.vue                                            | vue            |        690 |         25 |         22 |        737 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Cpr.vue                                             | vue            |        313 |          0 |         16 |        329 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Diagnose.vue                                        | vue            |         70 |          0 |         10 |         80 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\DischargeRecord.vue                                 | vue            |         49 |          0 |          9 |         58 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Grade.vue                                           | vue            |         10 |          0 |          3 |         13 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Hy.vue                                              | vue            |        778 |         14 |         39 |        831 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Measure.vue                                         | vue            |        467 |          2 |         30 |        499 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\MedicalHistory.vue                                  | vue            |        464 |         25 |         25 |        514 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\MedicalSelect.vue                                   | vue            |         94 |          0 |          8 |        102 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Sign.vue                                            | vue            |        304 |          1 |         12 |        317 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\SumUp.vue                                           | vue            |         48 |          0 |          6 |         54 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Time.vue                                            | vue            |        105 |          1 |          6 |        112 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Video.vue                                           | vue            |        338 |         15 |         23 |        376 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\Xdt.vue                                             | vue            |        267 |          2 |          9 |        278 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\XdtUpload.vue                                       | vue            |        192 |          1 |         19 |        212 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\const.ts                                            | TypeScript     |         91 |          4 |          6 |        101 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\components\utils.ts                                            | TypeScript     |         44 |          0 |          2 |         46 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\index.ts                                                       | TypeScript     |         28 |          0 |          1 |         29 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPatient\write\index.vue                                                      | vue            |        219 |          2 |         18 |        239 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPrintCode\bizPrintCode.data.ts                                               | TypeScript     |        169 |         14 |          3 |        186 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPrintCode\const.ts                                                           | TypeScript     |         13 |          0 |          3 |         16 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizPrintCode\index.vue                                                          | vue            |        300 |          7 |         18 |        325 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizRequest\bizRequest.data.ts                                                   | TypeScript     |        154 |         85 |          2 |        241 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizRequest\index.vue                                                            | vue            |        209 |         50 |         10 |        269 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskAmbulance\bizTaskAmbulance.data.ts                                       | TypeScript     |         90 |          6 |          2 |         98 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskAmbulance\components\catInspect.vue                                      | vue            |        406 |         14 |          6 |        426 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskAmbulance\components\departureRecord.vue                                 | vue            |        156 |         10 |          5 |        171 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskAmbulance\components\deviceBinding.vue                                   | vue            |        239 |         12 |          8 |        259 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskAmbulance\components\disinfect.vue                                       | vue            |        365 |          4 |         21 |        390 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskAmbulance\index.vue                                                      | vue            |        409 |         17 |         19 |        445 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskAmbulance\myComponentStyle.less                                          | Less           |         38 |          0 |          9 |         47 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskListView\bizTaskListView.data.ts                                         | TypeScript     |        143 |         20 |          3 |        166 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskListView\index.vue                                                       | vue            |        127 |          3 |          5 |        135 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskQuery\bizTaskQuery.data.ts                                               | TypeScript     |        138 |          3 |          1 |        142 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTaskQuery\index.vue                                                          | vue            |        137 |          5 |         12 |        154 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTask\bizTask.data.ts                                                         | TypeScript     |        514 |        242 |          4 |        760 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTask\components\addPatient.vue                                               | vue            |        140 |          0 |          3 |        143 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTask\components\xzPatient.vue                                                | vue            |         55 |          0 |          2 |         57 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTask\index.vue                                                               | vue            |      1,602 |         20 |         89 |      1,711 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTask\list.vue                                                                | vue            |        387 |         13 |         15 |        415 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTastExitnspection\bizTastExitnspection.data.ts                               | TypeScript     |          0 |          0 |          1 |          1 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTastExitnspection\index.vue                                                  | vue            |        469 |          8 |         11 |        488 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTastWristband\index.vue                                                      | vue            |        169 |          0 |         20 |        189 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTransitPatients\components\monitorDialog.vue                                 | vue            |        110 |          0 |         13 |        123 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTransitPatients\components\picDialog.vue                                     | vue            |         93 |          3 |          9 |        105 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTransitPatients\components\signDialog.vue                                    | vue            |         57 |          0 |          9 |         66 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTransitPatients\components\step.vue                                          | vue            |         71 |          0 |          4 |         75 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTransitPatients\components\videoDialog.vue                                   | vue            |        157 |          1 |         16 |        174 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTransitPatients\index.less                                                   | Less           |        295 |         15 |         60 |        370 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizTransitPatients\index.vue                                                    | vue            |      1,328 |         26 |         54 |      1,408 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizValuation\components\item\index.vue                                          | vue            |        161 |          2 |          9 |        172 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizValuation\components\part\components\body.vue                                | vue            |        244 |          0 |         30 |        274 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizValuation\components\part\components\utils.ts                                | TypeScript     |      1,340 |          3 |          5 |      1,348 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizValuation\components\part\index.vue                                          | vue            |        334 |          1 |         16 |        351 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizValuation\components\score\index.vue                                         | vue            |        540 |          6 |         48 |        594 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizValuation\components\treat\index.vue                                         | vue            |        117 |         10 |         12 |        139 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizValuation\index.vue                                                          | vue            |        362 |          1 |         17 |        380 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\bizValuation\utils.ts                                                           | TypeScript     |         19 |          0 |          3 |         22 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicEmergencyType\dicEmergencyType.data.ts                                       | TypeScript     |        122 |          2 |          2 |        126 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicEmergencyType\index.vue                                                      | vue            |        245 |          6 |         17 |        268 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicEmsBeacon\dicEmsBeacon.data.ts                                               | TypeScript     |        121 |          2 |          2 |        125 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicEmsBeacon\index.vue                                                          | vue            |        213 |          6 |         12 |        231 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicEmsDevice\dicEmsDevice.data.ts                                               | TypeScript     |        267 |          3 |          4 |        274 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicEmsDevice\index.vue                                                          | vue            |        246 |          7 |         15 |        268 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicEmsDevice\utils.ts                                                           | TypeScript     |         18 |          1 |          1 |         20 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicKnowledgeBase\dicKnowledgeBase.data.ts                                       | TypeScript     |         94 |          2 |          2 |         98 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicKnowledgeBase\index.vue                                                      | vue            |        204 |          6 |         12 |        222 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicParser\dicParser.data.ts                                                     | TypeScript     |         89 |         37 |          2 |        128 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicParser\index.vue                                                             | vue            |        382 |          9 |         21 |        412 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicPatientBase\dicPatientBase.data.ts                                           | TypeScript     |        219 |         13 |          2 |        234 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicPatientBase\index.vue                                                        | vue            |        240 |          8 |         13 |        261 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicPatientExtinfo\dicPatientExtinfo.data.ts                                     | TypeScript     |        345 |          2 |          2 |        349 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicPatientExtinfo\index.vue                                                     | vue            |        340 |         16 |         12 |        368 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicPatientValuation\dicPatientValuation.data.ts                                 | TypeScript     |        279 |          6 |          8 |        293 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicPatientValuation\index.vue                                                   | vue            |        247 |         11 |         12 |        270 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicTaskTime\dicTaskTime.data.ts                                                 | TypeScript     |        230 |         16 |          3 |        249 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicTaskTime\index.vue                                                           | vue            |        291 |          8 |         16 |        315 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicTemplatesType\dicTemplatesType.data.ts                                       | TypeScript     |        102 |         12 |          3 |        117 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicTemplatesType\index.vue                                                      | vue            |        206 |          6 |         14 |        226 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicTemplates\dicTemplates.data.ts                                               | TypeScript     |        200 |         29 |          2 |        231 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\dicTemplates\index.vue                                                          | vue            |        260 |         47 |         16 |        323 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\mdtChatRecord\index.vue                                                         | vue            |        237 |          6 |         12 |        255 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\mdtChatRecord\mdtChatRecord.data.ts                                             | TypeScript     |        189 |          2 |          2 |        193 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\mdtGroupMember\index.vue                                                        | vue            |        254 |          6 |         12 |        272 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\mdtGroupMember\mdtGroupMember.data.ts                                           | TypeScript     |        232 |          2 |          2 |        236 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\mdtGroupPeopleManagement\index.vue                                              | vue            |        434 |          3 |         18 |        455 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\phm\mdtGroupPeopleManagement\mdtGroupPeopleManagement.data.ts                       | TypeScript     |          0 |          0 |          1 |          1 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\QualityControlIndex\index.vue                                              | vue            |        116 |          4 |          4 |        124 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\component\LineZhu.vue                                                      | vue            |        192 |          0 |          5 |        197 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\component\barChart.vue                                                     | vue            |        125 |          0 |          5 |        130 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\component\diseaseChart.vue                                                 | vue            |        185 |          0 |          4 |        189 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\component\pieChart.vue                                                     | vue            |        144 |          0 |          4 |        148 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\component\progressbar.vue                                                  | vue            |        120 |          0 |          2 |        122 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\component\progressbarTwo.vue                                               | vue            |         92 |          0 |          2 |         94 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\disease\index.vue                                                          | vue            |        324 |          5 |         14 |        343 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\management\index.vue                                                       | vue            |        206 |          4 |         10 |        220 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\patientView\components\subWayMap.vue                                       | vue            |        150 |          0 |         15 |        165 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\patientView\index.vue                                                      | vue            |        493 |         24 |         42 |        559 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\pregnant\patientView\patientVisit.data.ts                                           | TypeScript     |        865 |          2 |          2 |        869 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generatorEchart\index.vue                                                    | vue            |        655 |          0 |         25 |        680 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generator\index.vue                                                          | vue            |         52 |          0 |          7 |         59 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generator\src\componentMap.ts                                                | TypeScript     |         11 |          0 |          4 |         15 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generator\src\components\GeneratorEchartBar.vue                              | vue            |        306 |          0 |         17 |        323 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generator\src\components\GeneratorSearch.vue                                 | vue            |        153 |          0 |         11 |        164 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generator\src\components\GeneratorText.vue                                   | vue            |        124 |          1 |          7 |        132 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generator\src\components\MyComponent.vue                                     | vue            |         62 |          0 |          4 |         66 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generator\src\generator.vue                                                  | vue            |        148 |          0 |         10 |        158 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\report\generator\src\type.ts                                                        | TypeScript     |         25 |          3 |          3 |         31 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\LineZhu.vue                                                     | vue            |        188 |          0 |          5 |        193 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\ageChart.vue                                                    | vue            |        117 |          0 |          2 |        119 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\barChart.vue                                                    | vue            |        121 |          0 |          5 |        126 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\diseaseChart.vue                                                | vue            |        185 |          0 |          4 |        189 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\interveneChart.vue                                              | vue            |        171 |          0 |          1 |        172 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\pieChart.vue                                                    | vue            |        144 |          0 |          4 |        148 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\progressbar.vue                                                 | vue            |        120 |          0 |          2 |        122 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\progressbarTwo.vue                                              | vue            |         92 |          0 |          2 |         94 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\riskChart.vue                                                   | vue            |         91 |          0 |          1 |         92 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\screenChart.vue                                                 | vue            |         93 |          0 |          1 |         94 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\sexChart.vue                                                    | vue            |        109 |          0 |          1 |        110 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\visitChart.vue                                                  | vue            |        116 |          0 |          2 |        118 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\component\visitType.vue                                                   | vue            |         79 |          0 |          1 |         80 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\disease\bizAssessment.data.ts                                             | TypeScript     |      1,135 |         13 |         15 |      1,163 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\disease\bizIntervention.data.ts                                           | TypeScript     |        869 |          5 |          5 |        879 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\disease\bizPatient.data.ts                                                | TypeScript     |        431 |         29 |          4 |        464 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\disease\index.vue                                                         | vue            |      1,868 |        132 |         23 |      2,023 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\management\bizAssessment.data.ts                                          | TypeScript     |      1,225 |         16 |         15 |      1,256 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\management\bizPatient.data.ts                                             | TypeScript     |        515 |         37 |          3 |        555 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\management\index.vue                                                      | vue            |      3,836 |         70 |         59 |      3,965 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\patient\bizIntervention.data.ts                                           | TypeScript     |        851 |          5 |          2 |        858 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\patient\components\subWayMap.vue                                          | vue            |        150 |          0 |         15 |        165 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\patient\index.vue                                                         | vue            |        723 |          6 |         49 |        778 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\patient\patientVisit.data.ts                                              | TypeScript     |        865 |          2 |          2 |        869 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\screening\screen\index.vue                                                          | vue            |        344 |          7 |          6 |        357 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\settings\aed\aed.data.ts                                                            | TypeScript     |        134 |          2 |          2 |        138 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\settings\aed\index.vue                                                              | vue            |        237 |          6 |         12 |        255 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\QualityControlIndex\index.vue                                                | vue            |        162 |          4 |          3 |        169 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\bizPatient\index.vue                                                         | vue            |        543 |         25 |         36 |        604 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\cockpit\charts\PatientChart.vue                                              | vue            |        124 |          0 |          4 |        128 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\cockpit\charts\ThrombolysisChat.vue                                          | vue            |        135 |          0 |          5 |        140 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\cockpit\charts\barChart.vue                                                  | vue            |         95 |          0 |         10 |        105 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\cockpit\charts\ctChart.vue                                                   | vue            |         72 |          0 |         10 |         82 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\cockpit\charts\deathChart.vue                                                | vue            |        125 |          0 |         10 |        135 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\cockpit\charts\greenwayChat.vue                                              | vue            |        112 |          0 |          6 |        118 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\views\stroke\cockpit\charts\lineBar.vue                                                   | vue            |        129 |          0 |         10 |        139 |
